Total_n,Quantile,Threshold,n_exceedances,mean,std,skewness,kurtosis,L1,L2,tau3_Lskewness,tau4_Lkurtosis,GPD_shape_Lmoment,GPD_scale_Lmoment,GPD_shape_MLE,GPD_scale_MLE,AD_stat_Lmoment,Bootstrap_pval_Lmoment,AD_stat_MLE,Bootstrap_pval_MLE,LogL_Lmoment,LogL_MLE,AIC_Lmoment,BIC_Lmoment,AIC_MLE,BIC_MLE,Ticker,Sector,Name
745,0.0,0.0,745,0.02518663191909031,0.021032972217177925,1.9311697902008191,8.903948010014153,0.02518663191909031,0.01068834508882188,0.2943779465113525,0.1621195602473136,-0.09028750897751599,0.02435889195499251,-0.12135739327561922,0.028116608722246278,19.783930966606817,0.0,9.71650465448954,0.0,1999.6863306121886,2006.0556360682663,-3995.372661224377,-3986.1458927876183,-4008.1112721365325,-3998.8845036997736,302440.KS,Health Care,SK Bioscience
745,0.5,0.019248188304916578,372,0.02079055462172846,0.02049560146351265,2.133998498048566,9.696654370143136,0.020790554621728463,0.010181514407746008,0.3225467109823637,0.17730216070235677,-0.02446784433713688,0.021116483366704058,-0.012712853032683678,0.021055221156422936,0.3325266299447662,0.906,0.34805947202750076,0.9,1068.8367887291786,1068.885135196298,-2133.673577458357,-2125.835789749811,-2133.770270392596,-2125.93248268405,302440.KS,Health Care,SK Bioscience
745,0.55,0.02127739844728485,334,0.021009811103103078,0.020452875364672544,2.163573817938248,9.766482498769848,0.021009811103103074,0.010117200361220251,0.3283298956419366,0.18218948311476493,-0.011300139463424659,0.020578669944826555,-0.02272875130273143,0.021487087860496433,1.032724658598056,0.334,0.6666275076859165,0.602,956.0664155958691,956.2662038952994,-1908.1328311917382,-1900.5105492057849,-1908.5324077905989,-1900.9101258046455,302440.KS,Health Care,SK Bioscience
745,0.6,0.02394733577217546,298,0.020691821951436727,0.020432316876687423,2.190302729908797,9.801979339143989,0.020691821951436727,0.01006331805145889,0.3347257393567079,0.187402195979343,0.003129645249919948,0.02003225082327715,-0.01091092338291103,0.020917388799683537,0.8587690066607934,0.41,0.5617649691135966,0.692,857.5068831681746,857.6694799887994,-1711.0137663363491,-1703.6195793633383,-1711.3389599775987,-1703.944773004588,302440.KS,Health Care,SK Bioscience
745,0.65,0.026945673108848985,261,0.020392480423696454,0.020442935248002038,2.21357166142923,9.786780323312495,0.020392480423696457,0.01002299765839583,0.3418872501968145,0.19409967201346268,0.0191236265093656,0.019474632667074866,0.0022051705217789428,0.020346766272083507,0.7066355041488919,0.58,0.46772237177196985,0.816,754.830378498308,754.9664437039846,-1505.660756996616,-1498.5317161819708,-1505.9328874079692,-1498.803846593324,302440.KS,Health Care,SK Bioscience
745,0.7,0.030615143748351295,224,0.01977525748095928,0.020518668382155048,2.223198225542765,9.668717192129732,0.019775257480959273,0.010026126653030572,0.3472085505534518,0.20392893079377813,0.030897704474377678,0.019132472034718243,0.03498965112923383,0.019083244932015138,0.46412420643179075,0.786,0.4671013706007727,0.778,654.9662478501834,654.9682479236064,-1305.9324957003669,-1299.1092035966567,-1305.9364958472129,-1299.1132037435027,302440.KS,Health Care,SK Bioscience
745,0.75,0.03364803411823276,186,0.02049842978757062,0.020584204976391414,2.2449722890546875,9.525197348605914,0.02049842978757062,0.009985689778620107,0.3637598662145848,0.2154418118051201,0.06693231037596144,0.018011018927371083,0.00358276811743733,0.02042480285918012,1.788776155492286,0.114,0.8072526724313605,0.482,536.2917119137849,537.0591054333827,-1068.5834238275697,-1062.1319304801434,-1070.1182108667654,-1063.666717519339,302440.KS,Health Care,SK Bioscience
745,0.8,0.03916729256630271,149,0.019345861413883347,0.020796179781934838,2.2320347036648385,9.13907699520523,0.019345861413883347,0.01003876349229108,0.38482734071258823,0.21589087142247174,0.11155327281325425,0.016842879921686822,0.07263950434212246,0.017943349251538954,0.4057832814422113,0.836,0.2792188877279216,0.96,439.0950281453696,439.23570838331,-874.1900562907392,-868.1821636788483,-874.47141676662,-868.463524154729,302440.KS,Health Care,SK Bioscience
745,0.85,0.04427757384777775,112,0.019757113356428872,0.021258162599263105,2.147339557865918,8.363161068827019,0.019757113356428872,0.010305301176357798,0.3967098180484941,0.210666444218662,0.13612666832337036,0.016593085479621517,0.07714948391889481,0.018239346512547442,0.5930403104147075,0.668,0.41152773491073447,0.832,327.6023807294465,327.83094242726213,-651.204761458893,-645.7677637163029,-651.6618848545243,-646.2248871119341,302440.KS,Health Care,SK Bioscience
745,0.9,0.05214956997656881,75,0.019628258460082895,0.0221487980576318,1.9312939993321876,7.007678948130046,0.019628258460082898,0.011027051318028128,0.3779819949991803,0.17920146243174617,0.09720445222335472,0.018942658547823784,0.17444985805428756,0.01631780865466009,1.1373670780135967,0.294,0.6609307017992876,0.62,220.27866841052813,220.579313913565,-436.55733682105625,-431.9223605939836,-437.15862782713,-432.52365160005735,302440.KS,Health Care,SK Bioscience
